alpha,budget,connect,BDI,species,ObjVal
numeric,numeric,numeric,numeric,numeric,numeric
0.79,25,28,9.119427092,121,101.47
0.82,25,20,9.145498527,123,104.46
0.85,25,20,9.599501055,123,107.55
0.88,25,20,9.599501055,123,110.64
0.91,25,20,9.201691324,123,113.73
0.94,25,6,10.03305308,124,116.92
0.97,25,6,10.03305308,124,120.46
0.01,30,58,8.468853462,101,58.43
0.04,30,58,7.821520836,101,59.72
0.07,30,58,8.468853462,101,61.01
0.1,30,58,8.468853462,101,62.3
0.13,30,58,7.821520836,101,63.59
0.16,30,58,8.468853462,101,64.88
0.19,30,58,7.821520836,101,66.17
0.22,30,58,7.821520836,101,67.46
0.25,30,58,7.821520836,101,68.75
0.28,30,56,8.738285694,107,70.28
0.31,30,56,8.765243557,107,71.81
0.34,30,54,8.935158297,111,73.38
0.37,30,54,9.102476546,111,75.09
0.4,30,52,9.789406749,114,76.8
0.43,30,52,9.789406749,114,78.66
0.46,30,52,9.789406749,114,80.52
0.49,30,52,9.348971946,114,82.38
0.52,30,48,9.952618105,118,84.4
0.55,30,48,10.16232586,118,86.5
0.58,30,48,9.952618105,118,88.6
0.61,30,48,10.13537452,118,90.7
0.64,30,48,9.882510647,118,92.8
0.67,30,38,10.35256382,123,94.95
0.7,30,38,10.12576616,123,97.5
0.73,30,38,10.12576616,123,100.05
0.76,30,38,10.12576616,123,102.6
0.79,30,38,10.35256382,123,105.15
0.82,30,38,10.12576616,123,107.7
0.85,30,38,10.12576616,123,110.25
0.88,30,38,10.12576616,123,112.8
0.91,30,30,10.77297525,124,115.54
0.94,30,16,10.69609884,125,118.46
0.97,30,16,10.69609884,125,121.73
0.01,35,68,9.3075521,104,68.36
0.04,35,68,9.3075521,104,69.44
0.07,35,68,9.3075521,104,70.52
0.1,35,68,9.3075521,104,71.6
0.13,35,68,9.3075521,104,72.68
0.16,35,68,9.3075521,104,73.76
0.19,35,68,9.3075521,104,74.84
0.22,35,68,9.3075521,104,75.92
0.25,35,68,9.3075521,104,77
0.28,35,68,9.3075521,104,78.08
0.31,35,66,8.991543513,109,79.33
0.34,35,64,9.62121897,113,80.66
0.37,35,64,9.62121897,113,82.13
